pickup_datetime,ntacode,borough,user_rating,age,male,passenger_count
2014-04-18 06:56:00,BK73,Brooklyn,3.56,38.57860439681494,True,1.0
2014-04-15 07:01:00,MN12,Manhattan,2.14,43.14354843721024,True,1.0
2014-04-03 19:24:00,MN25,Manhattan,3.76,41.017962576746356,False,1.0
2014-04-02 18:08:00,MN13,Manhattan,3.05,50.04776622890172,False,1.0
2014-04-18 17:03:00,MN19,Manhattan,3.34,31.89973803830452,True,1.0
2014-04-16 14:55:00,MN17,Manhattan,4.49,23.575909300612704,False,1.0
2014-04-28 12:23:00,MN15,Manhattan,1.38,24.822826647851663,True,1.0
2014-04-16 22:56:00,MN99,Manhattan,3.43,56.2628644679648,True,1.0
2014-04-28 17:21:00,MN25,Manhattan,3.21,36.17194789924547,True,1.0
2014-04-12 09:20:00,MN17,Manhattan,3.75,39.24648778305846,True,1.0
2014-04-10 10:13:00,MN14,Manhattan,2.64,55.44108628885192,True,1.0
2014-04-30 19:25:00,MN13,Manhattan,1.61,36.5426327640617,True,2.0
2014-04-26 20:57:00,MN17,Manhattan,2.78,41.55916458038169,True,2.0
2014-04-10 07:16:00,MN11,Manhattan,3.57,34.042056900057034,True,3.0
2014-04-20 12:50:00,BK42,Brooklyn,2.68,34.21486339411681,True,3.0
2014-04-18 16:30:00,MN21,Manhattan,4.75,34.4804938152027,True,1.0
2014-04-27 03:30:00,MN20,Manhattan,3.28,21.15156797870791,True,1.0
2014-04-08 14:29:00,MN17,Manhattan,3.2,60.121726821293564,False,1.0
2014-04-20 16:35:00,MN17,Manhattan,2.39,43.25268391489592,True,1.0
2014-04-22 14:55:00,MN17,Manhattan,1.99,40.46768453593376,False,1.0
2014-04-07 17:29:00,MN19,Manhattan,4.32,35.05206671657733,False,2.0
2014-04-08 07:42:00,BK09,Brooklyn,3.69,46.5351551935524,True,3.0
2014-04-23 09:29:00,MN40,Manhattan,1.09,51.88994368307841,False,1.0
2014-04-19 12:56:00,BK78,Brooklyn,3.04,40.548690452354855,False,1.0
2014-04-05 13:32:00,MN31,Manhattan,2.12,38.95860895193819,True,1.0
2014-04-18 21:45:00,MN17,Manhattan,2.64,44.747216002432374,False,1.0
2014-04-25 18:53:00,QN98,Queens,1.07,41.6125272931522,False,1.0
2014-04-11 20:19:00,MN13,Manhattan,4.95,40.468866116330794,False,1.0
2014-04-10 06:26:00,MN12,Manhattan,1.76,26.153437335179454,True,3.0
2014-04-26 18:12:00,MN19,Manhattan,4.61,40.17445572648157,False,3.0
2014-04-11 18:06:00,MN40,Manhattan,4.99,38.23477962313216,True,1.0
2014-04-20 17:30:00,BK75,Brooklyn,4.9,52.89100738595471,True,2.0
2014-04-28 11:00:00,MN17,Manhattan,1.44,31.9618731564483,False,1.0
2014-04-30 12:58:00,MN19,Manhattan,4.11,31.015645477204103,False,1.0
2014-04-07 19:15:00,BK73,Brooklyn,3.72,31.052307574913748,False,1.0
2014-04-13 00:01:00,BK90,Brooklyn,1.05,34.51313070223989,False,3.0
2014-04-15 08:36:00,BK82,Brooklyn,2.74,38.64543211687951,False,3.0
2014-04-30 14:23:00,MN17,Manhattan,4.44,32.87943992006029,True,1.0
2014-04-10 18:33:00,BK69,Brooklyn,1.86,45.275120051251946,False,1.0
2014-04-14 06:23:00,MN32,Manhattan,2.41,29.539348098727423,True,1.0
2014-04-10 08:41:00,MN13,Manhattan,3.69,45.706163968933865,False,1.0
2014-04-24 18:16:00,MN20,Manhattan,4.39,29.677889118371112,True,1.0
2014-04-28 20:24:00,MN19,Manhattan,3.05,64.42165808196813,False,1.0
2014-04-20 21:40:00,BK34,Brooklyn,3.76,33.23592300114794,False,1.0
2014-04-25 22:43:00,MN09,Manhattan,4.33,53.387154590679415,False,1.0
2014-04-30 17:53:00,MN40,Manhattan,3.02,36.69164479485601,False,5.0
2014-04-19 15:54:00,MN20,Manhattan,3.93,39.40674199435969,False,1.0
2014-04-29 17:51:00,MN31,Manhattan,2.22,45.66729582477848,False,1.0
2014-04-09 14:11:00,MN19,Manhattan,4.18,36.81311379002246,False,1.0
2014-04-27 14:54:00,BK68,Brooklyn,1.67,19.18829452971987,False,1.0
2014-04-19 18:08:00,BK73,Brooklyn,4.32,24.42540591917406,True,1.0
2014-04-02 13:45:00,MN19,Manhattan,1.37,41.117458279668924,True,1.0
2014-04-17 21:22:00,MN17,Manhattan,3.44,44.82789672256759,True,1.0
2014-04-17 21:29:00,BK73,Brooklyn,1.58,45.494872057019165,False,1.0
2014-04-06 09:24:00,MN15,Manhattan,1.77,24.136221055827967,False,1.0
2014-04-11 19:31:00,MN17,Manhattan,1.06,25.359207434689893,True,1.0
2014-04-28 15:43:00,MN17,Manhattan,1.8,31.488650629324464,True,2.0
2014-04-30 20:29:00,MN17,Manhattan,4.36,18.773623535182185,False,1.0
2014-04-11 05:15:00,BK09,Brooklyn,3.32,62.52289158887181,False,1.0
2014-04-11 15:12:00,MN25,Manhattan,2.47,27.509162320816785,False,1.0
2014-04-14 19:08:00,MN19,Manhattan,3.25,46.72988613104603,True,1.0
2014-04-04 16:27:00,MN17,Manhattan,4.88,39.17024419727297,False,1.0
2014-04-19 13:44:00,BK37,Brooklyn,3.59,36.31121909567384,False,1.0
2014-04-05 14:18:00,MN36,Manhattan,2.28,52.07438441804441,True,3.0
2014-04-02 20:49:00,MN17,Manhattan,4.17,44.31824283488402,True,1.0
2014-04-10 17:10:00,MN17,Manhattan,4.57,32.193995327899046,True,1.0
2014-04-15 11:28:00,MN25,Manhattan,1.11,33.028051670105015,False,1.0
2014-04-21 22:53:00,MN14,Manhattan,1.29,66.56186221399886,False,1.0
2014-04-18 20:39:00,BK99,Brooklyn,4.77,29.81222639517864,False,1.0
2014-04-12 21:02:00,MN15,Manhattan,2.43,44.56757878285233,False,1.0
2014-04-24 21:14:00,MN25,Manhattan,4.76,42.96962330092493,True,1.0
2014-04-11 16:33:00,MN17,Manhattan,4.06,32.55780287154258,True,4.0
2014-04-30 19:21:00,MN40,Manhattan,1.04,40.630673623075545,True,1.0
2014-04-25 06:42:00,MN15,Manhattan,1.78,35.98490209976379,True,1.0
2014-04-22 21:02:00,MN17,Manhattan,1.65,31.624117442662197,True,1.0
2014-04-19 15:14:00,MN17,Manhattan,2.48,34.975020989658624,True,3.0
2014-04-22 18:06:00,MN19,Manhattan,3.23,32.318584530907685,False,1.0
2014-04-04 15:08:00,QN98,Queens,4.47,25.871568936271636,False,1.0
2014-04-13 12:29:00,BX29,Bronx,2.72,43.0547662907021,False,1.0
2014-04-07 17:12:00,MN40,Manhattan,3.88,45.27783995583496,True,1.0
2014-04-27 11:49:00,MN20,Manhattan,2.62,35.31798582095357,False,1.0
2014-04-04 03:00:00,MN32,Manhattan,1.98,36.03341423473392,False,1.0
2014-04-08 19:27:00,MN15,Manhattan,4.69,40.42059676645066,False,1.0
2014-04-30 16:51:00,BK76,Brooklyn,2.15,33.60089335649704,True,1.0
2014-04-07 18:40:00,MN25,Manhattan,4.19,54.99054925236294,False,1.0
